Vendor,Device,M,N,K,TimeMs,GFLOPS,BandwidthGBs,Backend
NVIDIA,NVIDIA GeForce RTX 3090,512,512,512,6.29,42.66,0.50,Vulkan
AMD,AMD Radeon RX 6950 XT (RADV NAVI21),512,512,512,4.33,61.98,0.73,Vulkan
NVIDIA,NVIDIA GeForce RTX 3090,1024,1024,1024,17.44,123.10,0.72,Vulkan
AMD,AMD Radeon RX 6950 XT (RADV NAVI21),1024,1024,1024,27.53,78.01,0.46,Vulkan
NVIDIA,NVIDIA GeForce RTX 3090,2048,2048,2048,79.66,215.67,0.63,Vulkan
AMD,AMD Radeon RX 6950 XT (RADV NAVI21),2048,2048,2048,130.84,131.31,0.38,Vulkan
NVIDIA,NVIDIA GeForce RTX 3090,3072,3072,3072,231.12,250.88,0.49,Vulkan
AMD,AMD Radeon RX 6950 XT (RADV NAVI21),3072,3072,3072,357.26,162.30,0.32,Vulkan
NVIDIA,NVIDIA GeForce RTX 3090,4096,4096,4096,448.46,306.47,0.45,Vulkan
AMD,AMD Radeon RX 6950 XT (RADV NAVI21),4096,4096,4096,1119.63,122.75,0.18,Vulkan
