Substrate,Operation,Sparsity,Size,Iterations,Time_us,Throughput,Power_W,Energy_J,Efficiency
CPU,SparseVectorAdd,0.989,1024,100,54,1844032,5.0,0.000271,368806.4
NPU,SparseEventAdd,0.990,1024,100,10806,9254,2.0,0.021613,4626.9
CPU,SparseVectorAdd,0.948,1024,100,102,973814,5.0,0.000513,194762.8
NPU,SparseEventAdd,0.950,1024,100,9583,10434,2.0,0.019167,5217.2
CPU,SparseVectorAdd,0.900,1024,100,135,737800,5.0,0.000678,147560.1
NPU,SparseEventAdd,0.900,1024,100,7690,13004,2.0,0.015380,6501.9
CPU,SparseVectorAdd,0.742,1024,100,226,440824,5.0,0.001134,88164.8
NPU,SparseEventAdd,0.750,1024,100,12032,8311,2.0,0.024064,4155.5
CPU,SparseVectorAdd,0.494,1024,100,351,284393,5.0,0.001758,56878.6
NPU,SparseEventAdd,0.500,1024,100,16275,6144,2.0,0.032551,3072.1
CPU,SparseVectorAdd,0.249,1024,100,414,241420,5.0,0.002071,48284.0
NPU,SparseEventAdd,0.250,1024,100,18427,5427,2.0,0.036855,2713.4
CPU,SparseVectorAdd,0.105,1024,100,445,224435,5.0,0.002228,44886.9
NPU,SparseEventAdd,0.101,1024,100,22446,4455,2.0,0.044893,2227.5
CPU,DenseVectorAdd,0.000,1024,100,0,476190476,5.0,0.000001,95238088.0
GPU,DenseVectorAdd,0.000,1024,100,11974,8351,250.0,2.993740,33.4
CPU,SparseVectorAdd,0.987,4096,100,99,1007668,5.0,0.000496,201533.7
NPU,SparseEventAdd,0.990,4096,100,18810,5316,2.0,0.037621,2658.1
CPU,SparseVectorAdd,0.951,4096,100,198,504625,5.0,0.000991,100925.0
NPU,SparseEventAdd,0.950,4096,100,16832,5941,2.0,0.033665,2970.4
CPU,SparseVectorAdd,0.899,4096,100,329,303835,5.0,0.001646,60767.0
NPU,SparseEventAdd,0.900,4096,100,19605,5101,2.0,0.039211,2550.3
CPU,SparseVectorAdd,0.755,4096,100,679,147071,5.0,0.003400,29414.3
NPU,SparseEventAdd,0.750,4096,100,27014,3702,2.0,0.054029,1850.8
CPU,SparseVectorAdd,0.509,4096,100,1443,69288,5.0,0.007216,13857.7
NPU,SparseEventAdd,0.500,4096,100,41884,2387,2.0,0.083770,1193.7
CPU,SparseVectorAdd,0.254,4096,100,2023,49416,5.0,0.010118,9883.2
NPU,SparseEventAdd,0.250,4096,100,61316,1631,2.0,0.122632,815.4
CPU,SparseVectorAdd,0.103,4096,100,3036,32936,5.0,0.015181,6587.2
NPU,SparseEventAdd,0.100,4096,100,79809,1253,2.0,0.159619,626.5
CPU,DenseVectorAdd,0.000,4096,100,0,204081633,5.0,0.000002,40816328.0
GPU,DenseVectorAdd,0.000,4096,100,9936,10064,250.0,2.484198,40.3
CPU,SparseVectorAdd,0.990,16384,100,409,244472,5.0,0.002045,48894.4
NPU,SparseEventAdd,0.990,16384,100,63034,1586,2.0,0.126070,793.2
CPU,SparseVectorAdd,0.951,16384,100,1308,76396,5.0,0.006545,15279.2
NPU,SparseEventAdd,0.950,16384,100,73902,1353,2.0,0.147804,676.6
CPU,SparseVectorAdd,0.901,16384,100,2680,37311,5.0,0.013401,7462.2
NPU,SparseEventAdd,0.900,16384,100,89378,1119,2.0,0.178756,559.4
CPU,SparseVectorAdd,0.750,16384,100,11037,9060,5.0,0.055187,1812.0
NPU,SparseEventAdd,0.750,16384,100,132859,753,2.0,0.265719,376.3
CPU,SparseVectorAdd,0.500,16384,100,25252,3960,5.0,0.126264,792.0
NPU,SparseEventAdd,0.500,16384,100,209396,478,2.0,0.418794,238.8
CPU,SparseVectorAdd,0.252,16384,100,25893,3862,5.0,0.129466,772.4
NPU,SparseEventAdd,0.250,16384,100,293308,341,2.0,0.586617,170.5
CPU,SparseVectorAdd,0.100,16384,100,18512,5402,5.0,0.092564,1080.3
NPU,SparseEventAdd,0.100,16384,100,345353,290,2.0,0.690707,144.8
CPU,DenseVectorAdd,0.000,16384,100,0,169491525,5.0,0.000003,33898304.0
GPU,DenseVectorAdd,0.000,16384,100,14050,7117,250.0,3.512517,28.5
