matrix_size,workgroup_size,mean_us,std_dev_us
256,32,4282.1,109.35614599402571
256,64,4306.8,132.63466950822306
256,128,4345.7,161.05006123011012
256,256,4248.4,119.6784581005844
256,512,4413.8,204.31772642953263
256,1024,4348.6,124.8271694072337
512,32,5459.1,304.617227936234
512,64,5450,96.73445898724795
512,128,5602.1,704.7977566492233
512,256,5309.2,98.51429676278802
512,512,5600.6,269.67766767836827
512,1024,5494.5,114.95240561012872
1024,32,10172.4,539.0564184036975
1024,64,9713.3,192.6880322640142
1024,128,9701.5,219.81418920938154
1024,256,9905.3,471.26426886738517
1024,512,9789.8,191.8064997160767
1024,1024,9876.5,214.2051197645223
2048,32,38763.7,1978.7201840246805
2048,64,38105.2,1207.3356156797863
2048,128,37811.5,584.130550476518
2048,256,37843.5,599.5315300762384
2048,512,38131.1,731.8590407691604
2048,1024,37963.1,505.1599196734084
