matrix_size,workgroup_size,mean_us,std_dev_us
256,32,1370.3,387.9221141758571
256,64,2079.1,1290.794367821614
256,128,1552.6,279.729313603149
256,256,1926.2,477.87929670809365
256,512,1750.2,315.9373355588098
256,1024,1982.7,610.0176773394904
512,32,3523.9,271.0188390335829
512,64,3553.4,251.75879108561213
512,128,3528.5,157.33562851433237
512,256,3257.5,487.2405862496359
512,512,2565.5,126.64846360431434
512,1024,2479.6,75.00399989333903
1024,32,7931,413.16044771439044
1024,64,7771.6,316.7937288941602
1024,128,7623.3,162.7725406817747
1024,256,7581.5,183.46979769615123
1024,512,7586.8,70.56722563154466
1024,1024,7607.9,164.57315158379333
2048,32,33049.4,205.5735607729965
2048,64,33130.8,367.94890949695724
2048,128,33331.3,209.61183702792698
2048,256,33245.8,198.16480234615048
2048,512,33161.3,312.88196212345355
2048,1024,33355.8,471.6083120556719
