tensor_size,tensor_name,workgroup_size,mean_us,std_dev_us
131072,128K,32,5505.1,191.8120897591645
131072,128K,64,5475,140.7274750083374
131072,128K,128,5444.8,140.7841531486331
131072,128K,256,5611,250.86605545146554
131072,128K,512,5670.8,194.125846925247
131072,128K,1024,5670.1,208.92499983380534
393216,384K_BERT,32,7823.8,177.6843643468196
393216,384K_BERT,64,7844.3,210.4271053516316
393216,384K_BERT,128,8028.9,475.2474092512236
393216,384K_BERT,256,8002.7,280.7913618487736
393216,384K_BERT,512,8625.5,1522.101854527336
393216,384K_BERT,1024,8075.5,283.03876844779484
1048576,1M_GPT2,32,19396,456.58004044563023
1048576,1M_GPT2,64,19674.1,930.5833833318394
1048576,1M_GPT2,128,20481.1,217.88042082247267
1048576,1M_GPT2,256,20656.6,999.3132308407276
1048576,1M_GPT2,512,19700.9,361.0972322119225
1048576,1M_GPT2,1024,19366.4,276.1723294531071
8388608,8M_LLaMA,32,122720.5,1849.8946066075105
8388608,8M_LLaMA,64,123509,1861.2312531702712
8388608,8M_LLaMA,128,122011.5,783.4383262970424
8388608,8M_LLaMA,256,120774.5,1796.7484366055378
8388608,8M_LLaMA,512,120116,2095.1451288899084
8388608,8M_LLaMA,1024,121432.4,1634.8047929679897
