hardware,vendor,backend,model,batch_size,poly_degree,security_bits,latency_ms,throughput_imgs_per_sec,memory_mb,power_w,energy_mj,imgs_per_joule,accuracy,layer1_time_ms,layer2_time_ms,total_operations
CPU,x86_64,BarraCUDA FHE,SimpleMLP_784_128_10,1,2048,112,1.0163,983.94,1.5312,25.00,0.025408,39357.68,0.9800,1.0035,0.0128,101632
GPU,NVIDIA,BarraCUDA FHE (WGSL),SimpleMLP_784_128_10,1,2048,112,0.3049,3279.81,1.5312,250.00,0.076224,13119.23,0.9800,0.3011,0.0038,101632
GPU,AMD,BarraCUDA FHE (WGSL),SimpleMLP_784_128_10,1,2048,112,0.2541,3935.77,1.5312,300.00,0.076224,13119.23,0.9800,0.2509,0.0032,101632
NPU,BrainChip,Akida FHE,SimpleMLP_784_128_10,1,2048,112,0.1524,6559.61,1.0719,2.50,0.000381,2623845.51,0.9800,0.1505,0.0019,101632
CPU,x86_64,BarraCUDA FHE,SimpleMLP_784_128_10,10,2048,112,10.1632,983.94,15.3125,25.00,0.254080,39357.68,0.9800,10.0352,0.1280,1016320
GPU,NVIDIA,BarraCUDA FHE (WGSL),SimpleMLP_784_128_10,10,2048,112,3.0490,3279.81,15.3125,250.00,0.762240,13119.23,0.9800,3.0106,0.0384,1016320
GPU,AMD,BarraCUDA FHE (WGSL),SimpleMLP_784_128_10,10,2048,112,2.5408,3935.77,15.3125,300.00,0.762240,13119.23,0.9800,2.5088,0.0320,1016320
NPU,BrainChip,Akida FHE,SimpleMLP_784_128_10,10,2048,112,1.5245,6559.61,10.7188,2.50,0.003811,2623845.51,0.9800,1.5053,0.0192,1016320
CPU,x86_64,BarraCUDA FHE,SimpleMLP_784_128_10,100,2048,112,101.6320,983.94,153.1250,25.00,2.540800,39357.68,0.9800,100.3520,1.2800,10163200
GPU,NVIDIA,BarraCUDA FHE (WGSL),SimpleMLP_784_128_10,100,2048,112,30.4896,3279.81,153.1250,250.00,7.622400,13119.23,0.9800,30.1056,0.3840,10163200
GPU,AMD,BarraCUDA FHE (WGSL),SimpleMLP_784_128_10,100,2048,112,25.4080,3935.77,153.1250,300.00,7.622400,13119.23,0.9800,25.0880,0.3200,10163200
NPU,BrainChip,Akida FHE,SimpleMLP_784_128_10,100,2048,112,15.2448,6559.61,107.1875,2.50,0.038112,2623845.51,0.9800,15.0528,0.1920,10163200
CPU,x86_64,BarraCUDA FHE,SimpleMLP_784_128_10,1,4096,128,1.4373,695.75,3.0625,25.00,0.035932,27830.08,0.9800,1.4192,0.0181,101632
GPU,NVIDIA,BarraCUDA FHE (WGSL),SimpleMLP_784_128_10,1,4096,128,0.4312,2319.17,3.0625,250.00,0.107797,9276.69,0.9800,0.4258,0.0054,101632
GPU,AMD,BarraCUDA FHE (WGSL),SimpleMLP_784_128_10,1,4096,128,0.3593,2783.01,3.0625,300.00,0.107797,9276.69,0.9800,0.3548,0.0045,101632
NPU,BrainChip,Akida FHE,SimpleMLP_784_128_10,1,4096,128,0.2156,4638.35,2.1437,2.50,0.000539,1855338.95,0.9800,0.2129,0.0027,101632
CPU,x86_64,BarraCUDA FHE,SimpleMLP_784_128_10,10,4096,128,14.3729,695.75,30.6250,25.00,0.359323,27830.08,0.9800,14.1919,0.1810,1016320
GPU,NVIDIA,BarraCUDA FHE (WGSL),SimpleMLP_784_128_10,10,4096,128,4.3119,2319.17,30.6250,250.00,1.077970,9276.69,0.9800,4.2576,0.0543,1016320
GPU,AMD,BarraCUDA FHE (WGSL),SimpleMLP_784_128_10,10,4096,128,3.5932,2783.01,30.6250,300.00,1.077970,9276.69,0.9800,3.5480,0.0453,1016320
NPU,BrainChip,Akida FHE,SimpleMLP_784_128_10,10,4096,128,2.1559,4638.35,21.4375,2.50,0.005390,1855338.95,0.9800,2.1288,0.0272,1016320
CPU,x86_64,BarraCUDA FHE,SimpleMLP_784_128_10,100,4096,128,143.7294,695.75,306.2500,25.00,3.593234,27830.08,0.9800,141.9192,1.8102,10163200
GPU,NVIDIA,BarraCUDA FHE (WGSL),SimpleMLP_784_128_10,100,4096,128,43.1188,2319.17,306.2500,250.00,10.779701,9276.69,0.9800,42.5757,0.5431,10163200
GPU,AMD,BarraCUDA FHE (WGSL),SimpleMLP_784_128_10,100,4096,128,35.9323,2783.01,306.2500,300.00,10.779701,9276.69,0.9800,35.4798,0.4525,10163200
NPU,BrainChip,Akida FHE,SimpleMLP_784_128_10,100,4096,128,21.5594,4638.35,214.3750,2.50,0.053899,1855338.95,0.9800,21.2879,0.2715,10163200
